date,rank,symbol,ltp,pct_chg,volume,value_cr,scan_clause,name,pct_change,tag,source,fetched_at,close,close_x_volume
2026-07-01,1,RITES,233.19,14.02,96672487.0,2254.31,t0_5pct,,,,,,,
2026-07-01,2,ETERNAL,279.7,5.71,66845146.0,1869.66,t0_5pct,,,,,,,
2026-07-01,3,RPOWER,27.17,9.38,347938381.0,945.35,t0_5pct,,,,,,,
2026-07-01,4,VEDPOWER,44.21,9.76,208285426.0,920.83,t0_5pct,,,,,,,
2026-07-01,5,DELHIVERY,507.7,7.55,18031256.0,915.45,t0_5pct,,,,,,,
2026-07-01,6,RHIM,387.7,5.42,19000070.0,736.63,t0_5pct,,,,,,,
2026-07-01,7,VOGL,38.68,19.98,165527150.0,640.26,t0_5pct,,,,,,,
2026-07-01,8,PAISALO,70.84,19.86,89780230.0,636.0,t0_5pct,,,,,,,
2026-07-01,9,PAYTM,1203.7,5.45,4234770.0,509.74,t0_5pct,,,,,,,
2026-07-01,10,VISL,38.78,9.98,113217339.0,439.06,t0_5pct,,,,,,,
2026-07-02,1,ZENSARTECH,499.05,6.78,19806978.0,988.47,t1_5pct_liq1cr,Zensar Technologies Limited,6.78,t1_5pct_liq1cr,,,,
2026-07-02,2,VOGL,43.09,-3.36,192826995.0,830.89,t1_5pct_liq1cr,Vedanta Oil and Gas Ltd,-3.36,t1_5pct_liq1cr,,,,
2026-07-02,3,VISL,41.88,-1.81,193650055.0,811.01,t1_5pct_liq1cr,Vedanta Iron & Steel Ltd,-1.81,t1_5pct_liq1cr,,,,
2026-07-02,4,VEDPOWER,46.18,-5.06,111033506.0,512.75,t1_5pct_liq1cr,Vedanta Power Ltd,-5.06,t1_5pct_liq1cr,,,,
2026-07-02,5,INFY,1047.5,0.63,4662265.0,488.37,t1_5pct_liq1cr,Infosys Limited,0.63,t1_5pct_liq1cr,,,,
2026-07-02,6,IKIO,193.27,13.53,20916400.0,404.25,t1_5pct_liq1cr,IKIO Lighting Ltd,13.53,t1_5pct_liq1cr,,,,
2026-07-02,7,PERSISTENT,4712.6,2.88,600331.0,282.91,t1_5pct_liq1cr,Persistent Systems Limited,2.88,t1_5pct_liq1cr,,,,
2026-07-02,8,PCJEWELLER,10.15,3.05,235745044.0,239.28,t1_5pct_liq1cr,Pc Jeweller Limited,3.05,t1_5pct_liq1cr,,,,
2026-07-02,9,SUVEN,329.0,10.42,6500350.0,213.86,t1_5pct_liq1cr,Suven Life Sciences Limited,10.42,t1_5pct_liq1cr,,,,
2026-07-02,10,COFORGE,1468.3,1.83,1310124.0,192.37,t1_5pct_liq1cr,Coforge (Niit Tech) Ltd,1.83,t1_5pct_liq1cr,,,,
2026-07-02,11,FORCEMOT,18882.0,-2.5,81985.0,154.8,t1_5pct_liq1cr,Force Motors Ltd,-2.5,t1_5pct_liq1cr,,,,
2026-07-02,12,PARAS,1326.1,-1.32,930542.0,123.4,t1_5pct_liq1cr,Paras Defence and Space Technologies Ltd,-1.32,t1_5pct_liq1cr,,,,
2026-07-02,13,AEGISLOG,1298.0,-1.81,864288.0,112.18,t1_5pct_liq1cr,Aegis Logistics Ltd,-1.81,t1_5pct_liq1cr,,,,
2026-07-02,14,MPHASIS,2306.5,2.72,366392.0,84.51,t1_5pct_liq1cr,Mphasis Limited,2.72,t1_5pct_liq1cr,,,,
